text,disease
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, fainting, and fever.",pulmonary fibrosis
The patient presents with shortness of breath and chest tightness.,pulmonary fibrosis
"The patient presents with shortness of breath, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with chest tightness, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with chest tightness, fainting, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and cough.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, cough, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and fainting.",pulmonary fibrosis
"The patient presents with chest tightness, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with sharp chest pain, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, fainting, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, and fainting.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, cough, and fainting.",pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with sharp chest pain, cough, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with chest tightness, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, and cough.",pulmonary fibrosis
"The patient presents with chest tightness, cough, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, cough, fainting, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, fever, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, fainting, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, and fainting.",pulmonary fibrosis
"The patient presents with sharp chest pain, cough, fainting, and difficulty breathing.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and fever.",pulmonary fibrosis
The patient presents with chest tightness and fainting.,pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, fainting, and fever.",pulmonary fibrosis
The patient presents with cough and fever.,pulmonary fibrosis
"The patient presents with sharp chest pain, chest tightness, and fainting.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, chest tightness, cough, and fever.",pulmonary fibrosis
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, and weakness.",pneumonia
"The patient presents with sharp chest pain, cough, wheezing, and weakness.",pneumonia
"The patient presents with sore throat, cough, vomiting, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, and fever.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sore throat, wheezing, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with cough, fever, and chills.",pneumonia
"The patient presents with shortness of breath, cough, nasal congestion, wheezing, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with wheezing, fever, and coryza.",pneumonia
"The patient presents with nasal congestion, weakness, and difficulty breathing.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, weakness, and coryza.",pneumonia
"The patient presents with shortness of breath, nasal congestion, wheezing, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, weakness, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, vomiting, wheezing, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, nasal congestion, vomiting, wheezing, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, wheezing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, and coryza.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, vomiting, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, nasal congestion, wheezing, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, vomiting, and wheezing.",pneumonia
"The patient presents with sore throat, wheezing, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, wheezing, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sore throat, nasal congestion, wheezing, fever, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, wheezing, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, vomiting, weakness, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with nasal congestion, wheezing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, wheezing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, wheezing, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, cough, vomiting, weakness, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, wheezing, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, vomiting, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, weakness, and fever.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, vomiting, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with nasal congestion, vomiting, and fever.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, wheezing, and weakness.",pneumonia
"The patient presents with shortness of breath, vomiting, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, wheezing, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, wheezing, weakness, and chills.",pneumonia
"The patient presents with sore throat, nasal congestion, wheezing, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, wheezing, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, vomiting, wheezing, weakness, fever, and chills.",pneumonia
"The patient presents with vomiting, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, wheezing, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with sore throat, cough, vomiting, wheezing, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with cough, nasal congestion, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, weakness, chills, and coryza.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, wheezing, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, nasal congestion, vomiting, wheezing, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, wheezing, fever, and chills.",pneumonia
"The patient presents with sore throat, vomiting, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, wheezing, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, wheezing, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with sore throat, wheezing, fever, and coryza.",pneumonia
"The patient presents with sore throat, cough, and vomiting.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, wheezing, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, wheezing, and fever.",pneumonia
"The patient presents with shortness of breath, vomiting, weakness, chills, and coryza.",pneumonia
"The patient presents with sore throat, vomiting, wheezing, weakness, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with sore throat, nasal congestion, vomiting, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, wheezing, and chills.",pneumonia
"The patient presents with shortness of breath, nasal congestion, vomiting, wheezing, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, fever, and difficulty breathing.",pneumonia
"The patient presents with cough, nasal congestion, vomiting, weakness, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, vomiting, wheezing, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, cough, wheezing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, nasal congestion, vomiting, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, cough, nasal congestion, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, cough, wheezing, fever, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, difficulty breathing, and coryza.",pneumonia
"The patient presents with sore throat, cough, and nasal congestion.",pneumonia
"The patient presents with cough, vomiting, wheezing, weakness, fever, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, fever, chills, and coryza.",pneumonia
"The patient presents with cough, vomiting, wheezing, fever, and chills.",pneumonia
"The patient presents with vomiting, wheezing, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sore throat, nasal congestion, and chills.",pneumonia
"The patient presents with shortness of breath, cough, nasal congestion, fever, and coryza.",pneumonia
"The patient presents with nasal congestion, wheezing, fever, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, vomiting, and fever.",pneumonia
"The patient presents with sharp chest pain, cough, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, nasal congestion, wheezing, and fever.",pneumonia
"The patient presents with shortness of breath, sore throat, nasal congestion, vomiting, wheezing, weakness, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, vomiting, chills, and coryza.",pneumonia
"The patient presents with sore throat, nasal congestion, vomiting, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, weakness, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, vomiting, weakness, and fever.",pneumonia
"The patient presents with sharp chest pain, vomiting, and fever.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, weakness, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, wheezing, and chills.",pneumonia
"The patient presents with sharp chest pain, cough, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, cough, nasal congestion, vomiting, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, weakness, and fever.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, weakness, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, wheezing, fever, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, vomiting, weakness, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, weakness, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, vomiting, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, nasal congestion, vomiting, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, nasal congestion, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with vomiting, wheezing, and weakness.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with cough, wheezing, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, nasal congestion, wheezing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sore throat, nasal congestion, vomiting, wheezing, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with cough, vomiting, wheezing, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, weakness, difficulty breathing, and chills.",pneumonia
The patient presents with sore throat and cough.,pneumonia
"The patient presents with shortness of breath, vomiting, weakness, and fever.",pneumonia
"The patient presents with sore throat, nasal congestion, vomiting, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, cough, nasal congestion, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, vomiting, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, vomiting, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, weakness, and chills.",pneumonia
"The patient presents with sore throat, cough, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, vomiting, wheezing, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, wheezing, and fever.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, fever, and coryza.",pneumonia
"The patient presents with sore throat, vomiting, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, wheezing, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, wheezing, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, and coryza.",pneumonia
"The patient presents with wheezing, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, and weakness.",pneumonia
"The patient presents with shortness of breath, cough, vomiting, wheezing, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, wheezing, weakness, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, wheezing, weakness, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, vomiting, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, vomiting, wheezing, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, weakness, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, wheezing, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, wheezing, and weakness.",pneumonia
"The patient presents with cough, vomiting, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with vomiting, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, fever, and chills.",pneumonia
"The patient presents with shortness of breath, nasal congestion, vomiting, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, wheezing, weakness, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, weakness, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, and coryza.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with sore throat, nasal congestion, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, and vomiting.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, wheezing, weakness, fever, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, vomiting, wheezing, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, wheezing, fever, and difficulty breathing.",pneumonia
"The patient presents with wheezing, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, vomiting, wheezing, and coryza.",pneumonia
"The patient presents with shortness of breath, nasal congestion, vomiting, wheezing, weakness, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, vomiting, wheezing, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, wheezing, fever, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, cough, fever, and chills.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, nasal congestion, vomiting, wheezing, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, vomiting, and weakness.",pneumonia
"The patient presents with shortness of breath, wheezing, weakness, and coryza.",pneumonia
"The patient presents with cough, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sore throat, cough, wheezing, difficulty breathing, and chills.",pneumonia
"The patient presents with sore throat, cough, vomiting, weakness, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, wheezing, and difficulty breathing.",pneumonia
"The patient presents with nasal congestion, vomiting, fever, and chills.",pneumonia
"The patient presents with shortness of breath, cough, vomiting, wheezing, and chills.",pneumonia
"The patient presents with wheezing, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, vomiting, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with wheezing, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, wheezing, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, vomiting, weakness, fever, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, vomiting, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, wheezing, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, wheezing, fever, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, vomiting, wheezing, weakness, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, nasal congestion, wheezing, and chills.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, vomiting, weakness, fever, and chills.",pneumonia
"The patient presents with sore throat, cough, and weakness.",pneumonia
"The patient presents with shortness of breath, vomiting, weakness, fever, and chills.",pneumonia
"The patient presents with sore throat, wheezing, weakness, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, wheezing, and difficulty breathing.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, vomiting, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, cough, wheezing, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, cough, fever, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, vomiting, weakness, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, cough, vomiting, wheezing, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, nasal congestion, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, weakness, and chills.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, vomiting, wheezing, weakness, fever, and difficulty breathing.",pneumonia
"The patient presents with sore throat, nasal congestion, wheezing, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, wheezing, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with sore throat, cough, vomiting, wheezing, weakness, chills, and coryza.",pneumonia
"The patient presents with sore throat, nasal congestion, weakness, difficulty breathing, and coryza.",pneumonia
"The patient presents with cough, nasal congestion, wheezing, weakness, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, nasal congestion, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, cough, nasal congestion, vomiting, weakness, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, nasal congestion, fever, difficulty breathing, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, fever, and coryza.",pneumonia
"The patient presents with shortness of breath, cough, vomiting, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, vomiting, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with vomiting, weakness, and difficulty breathing.",pneumonia
"The patient presents with shortness of breath, cough, vomiting, wheezing, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, vomiting, wheezing, and chills.",pneumonia
The patient presents with shortness of breath and coryza.,pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, and difficulty breathing.",pneumonia
"The patient presents with sharp chest pain, nasal congestion, weakness, difficulty breathing, and chills.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, weakness, fever, chills, and coryza.",pneumonia
"The patient presents with cough, nasal congestion, wheezing, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, weakness, fever, and chills.",pneumonia
"The patient presents with cough, nasal congestion, vomiting, wheezing, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, nasal congestion, weakness, fever, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, vomiting, fever, difficulty breathing, and chills.",pneumonia
"The patient presents with shortness of breath, sore throat, wheezing, weakness, fever, and chills.",pneumonia
"The patient presents with sharp chest pain, vomiting, and chills.",pneumonia
"The patient presents with shortness of breath, vomiting, weakness, fever, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, vomiting, wheezing, weakness, difficulty breathing, chills, and coryza.",pneumonia
"The patient presents with shortness of breath, sore throat, cough, nasal congestion, vomiting, wheezing, and chills.",pneumonia
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, nasal congestion, vomiting, wheezing, weakness, chills, and coryza.",pneumonia
"The patient presents with sore throat, cough, nasal congestion, weakness, chills, and coryza.",pneumonia
"The patient presents with sharp chest pain, sore throat, cough, nasal congestion, vomiting, fever, and difficulty breathing.",pneumonia
